"---Category---",""
"Add to Cart", "Beli"
"View Details", "Lihat Detail"
"* Required Fields", "* Wajib diisi"
"This is a required field.", "Wajib diisi."

"---Product---",""
"In Stock", "Tersedia"
"Choose an Option...", "Pilih opsi..."
"Qty:", "Jumlah"
"Sort By", "Urutkan"
"Show", "Tampil"

"---Login---",""
"Login", "Masuk"
"Logout", "Keluar"
"Already registered?", "Sudah terdaftar?"
"If you have an account with us, please log in.", "Jika sudah mempunyai akun, silahkan login."
"Email Address", "Email"
"Password", "Kata Sandi"
"Forgot Your Password?", "Lupa Kata Sandi?"
"Confirm Password", "Konfirmasi Kata Sandi"
"Back", "Kembali"

"---Register---",""
"Register", "Daftar"
"First Name", "Nama Depan"
"Last Name", "Nama Belakang"
"Create an Account", "Buat Akun"
"Please enter the following information to create your account.", "Silahkan lengkapi informasi untuk melakukan pembuatan akun baru."
"Please type the letters below", "Masukkan kode dibawah, kalau anda memang bukan robot :P"

"---Forgot Password---",""
"", ""

"---Shopping Cart---",""
"Price", "Harga"
"Qty", "Jumlah"
"Details", "Rincian"
"View Shopping Cart", "Keranjang Belanja"
"Checkout", "Pembayaran"
"Cart Subtotal:", "Total:"
"You have no items in your shopping cart.", "Anda tidak memiliki produk di keranjang."
"The requested quantity for ""%s"" is not available.","Jumlah produk yang diminta untuk ""%s"" tidak mencukupi."
"Update Shopping Cart", "Perbaharui Keranjang Belanja"
"Continue Shopping", "Lanjut Berbelanja"

"---Checkout---",""
"Shopping Cart", "Keranjang Belanja"
"Proceed to Checkout", "Lanjut ke Pembayaran"
"Product", "Produk"
"SKU", "Kode"
"Empty Cart", "Kosongkan Keranjang"
"Update", "Perbarui"
"%s was added to your shopping cart.","%s ditambahkan pada cart Anda."
"%s was updated in your shopping cart.","%s diperbarui pada cart Anda."
"Continue", "Lanjutkan"
"Checkout Method", "Metode Pembayaran"
"Checkout as a Guest or Register", "Bayar sebagai Tamu atau Daftarkan Akun"
"Forgot your password?", "Lupa Kata Sandi?"
"Returning Customers", "Sudah terdaftar sebagai pelanggan"
"Register with us for future convenience:", "Daftar aja biar lebih nyaman berbelanja"
"Checkout as Guest", "Daftar sebagai Tamu"
"Register and Checkout", "Daftar lalu Bayar"
"Sign in to speed up your checkout process", "Sign in biar proses pembayaran lebih cepat"
"Billing Information", "Informasi Tagihan"
"Your Checkout Progress", "Tahapan Pembayaran Anda"
"Address", "Alamat"
"Company", "Perusahaan"
"City", "Kota"
"State/Province", "Provinsi"
"Zip/Postal Code", "Kode Pos"
"Country", "Negara"

"---Checkout Summary---",""
"", ""
