"Actions","Aksi"
"An error occurred while marking notification as read.","Error terjadi ketika menandai notifikasi yang sudah terbaca."
"An error occurred while marking the messages as read.","Error terjadi ketika menandai pesan yang sudah terbaca."
"An error occurred while removing messages.","Error terjadi ketika memindahkan pesan."
"An error occurred while removing the message.","Error terjadi ketika menghapus pesan."
"Are you sure?","Apakah anda yakin?"
"Date Added","tanggal ditambahkan"
"Last Update","Perbaruan Terakhir"
"Mark as Read","Tandai telah dibaca"
"Mark as read","tandai telah dibaca"
"Message","Pesan"
"Messages Inbox","Inbox pesan"
"Notifications","Notifikasi"
"Please select messages.","Silakan Pilih Pesan."
"Read Details","Baca detail"
"Remove","Menghapus"
"Severity","Kerasnya"
"Show List","Menampilkan daftar"
"Show Toolbar","Menampilkan toolbar"
"The message has been marked as read.","Pesan telah ditandai sebagai yang sudah dibaca."
"The message has been removed.","Pesan telah dihapus."
"Total of %d record(s) have been marked as read.","Total dari %d record telah ditandai sebagai yang sudah dibaca."
"Total of %d record(s) have been removed.","Total dari %d record telah dihapus."
"Unable to proceed. Please, try again.","Tidak dapat memproses. Silakan, coba lagi."
"Update Frequency","Frekuensi Perbaruan"
"Use HTTPS to Get Feed","Gunakan HTTPS untuk mendapatkan Feed"
"critical","kritis"
"major","utama"
"minor","kecil"
"notice","pemberitahuan"
